category,short_description
POLITICS,this weekend the new york times reported that the panel appointed to review the central intelligence agencys cia unauthorized search of senate intelligence committee staff members computers is expected to not recommend pursuing disciplinary action against cia officials involved in the breach
POLITICS,liberal justices ruth bader ginsburg and sonia sotomayor said they would have granted the appeal to hear the case
SPORTS,by sean martin golfweek san diego  torrey pines may be tiger woods territory but he hasnt won here since 2008 his performance
POLITICS,democrats failed to flip gopcontrolled state legislatures where the critical decennial redistricting battles will take place after the 2020 census
POLITICS,it needs to move fast to appeal a circuit courts latest ruling
POLITICS,she said congress takes a solemn oath to protect and defend the american people
POLITICS,governor you know what trump is about to do to america
POLITICS,absent a plan from the president us partners saudi arabia and the uae are moving forward despite strategic and humanitarian concerns
SPORTS,colin kaepernick retweeted a picture of the apparent protest
POLITICS,clearly a tremendous number of people did not fully appreciate what it was that i was communicating gov matt bevin r said sunday
POLITICS,he switched it up to focus on benghazi
POLITICS,new fec filings show that all of the 417250 in monetary donations to a super pac called black americans for a better future
POLITICS,he defended his father by referencing his photos with all the rappers
SPORTS,the daughter of the late junior seau will be able to speak live during the pro football hall of fame induction ceremony after
POLITICS,the hon abner j mikva grew up in milwaukee during the depression after serving as a navigator in world war ii he attended college and then entered the university of chicago as a law student in 1948
POLITICS,barack obama should use his powers as president of the united states and pardon the three cubans that are still imprisoned this will have the immediate effect of freeing alan gross and improving relations between washington and havana
POLITICS,experts say the choice to lead the pension benefit guaranty corp wasnt based on qualifications
SPORTS,are you kidding me
POLITICS,in her soontobereleased 2016 election memoir hillary clinton takes on her numerous enemies and opponents  and supporters
SPORTS,how can you expect us to get on board with the usmnt when the coach doesnt even believe in them if i had a chance to counsel klinsmann on public relations for his team i could limit it to three words know your audience
SPORTS,youre a true champion piotr malachowski
POLITICS,and bankrolled by taxpayer money
POLITICS,how the previously obscure anne frank center became one of the most scathing critics of the new administration
POLITICS,experts however say only deputy attorney general rod rosenstein has the power to remove mueller
SPORTS,frye recalled the moments leading up to one of the most difficult times in his nba playing career soon enough he would realize that the looks of the doctors and professionals around him were serious
